ID;Ship;Country;Type;Tahun Produksi;Fate
0;Aaron Ward�(DD-132);USA Navy�Royal Navy;Wickes-class destroyer;21-Apr-19;To UK as HMS�Castleton 9 September 1940
1;Aaron Ward�(DD-483);USA Navy;Gleaves-class destroyer;04-Mar-42;Sunk 7 April 1943[1]
2;Aaron Ward�(DM-34);USA Navy;Robert H. Smith-class destroyer-minelayer;28-Oct-44;constructive loss 30 April 1945, scrapped 1946
3;Abbot�(DD-184);USA Navy�Royal Navy;Wickes-class destroyer;19-Jul-19;To UK as HMS�Charlestown 23 September 1940[2]
4;Abbot�(DD-629);USA Navy;Fletcher-class destroyer;23-Apr-43;Decommissioned 1965, scrapped 1975[3]
5;Abdiel;Royal Navy;Abdiel-class minelayer;15-Apr-41;Sunk 10 September 1943[4]
6;Abel P. Upshur;USA Navy�Royal Navy;Clemson-class destroyer;19-Jul-19;To UK as HMS�Clare 9 September 1940
7;Abercrombie;Royal Navy;Roberts-class monitor;05-May-43;Scrapped 1954[5]
8;Abercrombie;USA Navy;John C. Butler-class destroyer escort;01-May-44;Decommissioned 1946, sunk as target 1968
9;Abner Read;USA Navy;Fletcher-class destroyer;05-Feb-43;Sunk 1 November 1944
10;Abukuma;Japan;Nagara-class light cruiser;26-May-25;Sunk 26 October 1944[6]
11;Acasta;Royal Navy;A-class destroyer;11-Feb-30;Sunk 8 June 1940[7]
12;Achates;Royal Navy;A-class destroyer;27-Mar-30;Sunk 31 December 1942
13;Acavus;Royal Navy;MAC ship;Oct-43;Returned to merchant service post-war, renamed Iacara
14;Acheron;Royal Navy;A-class destroyer;13-Oct-31;Sunk 17 December 1940
15;Achilles;Royal Navy/�Royal New Zealand Navy;Leander-class light cruiser;06-Oct-33;sold to India 1948
16;Acree;USA Navy;Cannon-class destroyer escort;19-Jul-43;Decommissioned 1946, scrapped 1973
17;Active;Royal Navy;A-class destroyer;09-Feb-30;Scrapped 1947
18;Activity;Royal Navy;Escort carrier;15-Oct-42;Returned to merchant service April 1946, renamed Breconshire
19;Adams;USA Navy;Robert H. Smith-class destroyer-minelayer;10-Oct-44;Decommissioned 1947, scrapped 1971
20;Adelaide;Royal Australian Navy;Birmingham-class light cruiser;05-Aug-22;Scrapped 1949
21;Admiral Graf Spee;German;Deutschland-class cruiser;06-Jan-36;scuttled 17 December 1939
22;Admiral Hipper;German;Admiral Hipper-class cruiser;25-Apr-39;Scuttled 2 May 1945
23;Admiral Scheer;German;Deutschland-class cruiser;12-Nov-34;Sunk 9 April 1945
24;Admiralty Islands;USA Navy;Casablanca-class escort carrier;13-Jun-44;Scrapped 1947
25;Adrias;Greece;Hunt-class (Type III) escort destroyer;05-Aug-42;Mined 22 October 1943, declared a constructive total loss, scrapped 1945
26;Adula;Royal Navy;MAC ship;Feb-44;Returned to merchant service post-war
27;Aetos;Greece;Wild Beast-class destroyer;19-Oct-12;Decommissioned 1946
28;Afridi;Royal Navy;Tribal-class destroyer;03-May-38;Sunk 3 May 1940
29;Agano;Japan;Agano-class light cruiser;31-Oct-42;Sunk 15 February 1944
30;Ahrens;USA Navy;Buckley-class destroyer escort;12-Feb-44;Decommissioned 1946, scrapped 1967
31;Ajax;Royal Navy;Leander-class light cruiser;03-Jun-35;Scrapped 1949
32;Akagi;Japan;Amagi-class battlecruiser converted to aircraft carrier;27-Mar-27;Sunk 5 June 1942
33;Akizuki;Japan;Akizuki-class destroyer;11-Jun-42;Sunk 25 October 1944
34;Alabama;USA Navy;South Dakota-class battleship;16-Aug-42;Decommissioned 9 January 1947, currently Museum ship since 1964
35;Alaska;USA Navy;Alaska-class large cruiser;17-Jun-44;Scrapped 1960
36;Albatross;Royal Australian Navy;seaplane carrier and repair ship;29-Sep-38;Torpedoed 1944, not repaired, scrapped 1954
