LIST OF WW2 SHIPS					
https://military-history.fandom.com/wiki/List_of_World_War_II_ships					
					
ID	Ship	Country	Type	Produksi	Fate
0	Aaron Ward (DD-132)	United States Navy Royal Navy	Wickes-class destroyer	21 April 1919	To UK as HMS Castleton 9 September 1940
1	Aaron Ward (DD-483)	United States Navy	Gleaves-class destroyer	4 March 1942	Sunk 7 April 1943[1]
2	Aaron Ward (DM-34)	United States Navy	Robert H. Smith-class destroyer-minelayer	28 October 1944	constructive loss 30 April 1945, scrapped 1946
3	Abbot (DD-184)	United States Navy Royal Navy	Wickes-class destroyer	19 July 1919	To UK as HMS Charlestown 23 September 1940[2]
4	Abbot (DD-629)	United States Navy	Fletcher-class destroyer	23 April 1943	Decommissioned 1965, scrapped 1975[3]
5	Abdiel	Royal Navy	Abdiel-class minelayer	15 April 1941	Sunk 10 September 1943[4]
6	Abel P. Upshur	United States Navy Royal Navy	Clemson-class destroyer	19 July 1919	To UK as HMS Clare 9 September 1940
7	Abercrombie	Royal Navy	Roberts-class monitor	5 May 1943	Scrapped 1954[5]
8	Abercrombie	United States Navy	John C. Butler-class destroyer escort	1 May 1944	Decommissioned 1946, sunk as target 1968
9	Abner Read	United States Navy	Fletcher-class destroyer	5 February 1943	Sunk 1 November 1944
10	Abukuma	Empire of Japan	Nagara-class light cruiser	26 May 1925	Sunk 26 October 1944[6]
11	Acasta	Royal Navy	A-class destroyer	11 February 1930	Sunk 8 June 1940[7]
12	Achates	Royal Navy	A-class destroyer	27 March 1930	Sunk 31 December 1942
13	Acavus	Royal Navy	MAC ship	October 1943	Returned to merchant service post-war, renamed Iacara
14	Acheron	Royal Navy	A-class destroyer	13 October 1931	Sunk 17 December 1940
15	Achilles	Royal Navy/ Royal New Zealand Navy	Leander-class light cruiser	6 October 1933	sold to India 1948
16	Acree	United States Navy	Cannon-class destroyer escort	19 July 1943	Decommissioned 1946, scrapped 1973
17	Active	Royal Navy	A-class destroyer	9 February 1930	Scrapped 1947
18	Activity	Royal Navy	Escort carrier	15 October 1942	Returned to merchant service April 1946, renamed Breconshire
19	Adams	United States Navy	Robert H. Smith-class destroyer-minelayer	10 October 1944	Decommissioned 1947, scrapped 1971
20	Adelaide	Royal Australian Navy	Birmingham-class light cruiser	5 August 1922	Scrapped 1949
21	Admiral Graf Spee	Nazi Germany	Deutschland-class cruiser	6 January 1936	scuttled 17 December 1939
22	Admiral Hipper	Nazi Germany	Admiral Hipper-class cruiser	25 April 1939	Scuttled 2 May 1945
23	Admiral Scheer	Nazi Germany	Deutschland-class cruiser	12 November 1934	Sunk 9 April 1945
24	Admiralty Islands	United States Navy	Casablanca-class escort carrier	13 June 1944	Scrapped 1947
25	Adrias	Greece	Hunt-class (Type III) escort destroyer	5 August 1942	Mined 22 October 1943, declared a constructive total loss, scrapped 1945
26	Adula	Royal Navy	MAC ship	February 1944	Returned to merchant service post-war
27	Aetos	Greece	Wild Beast-class destroyer	19 October 1912	Decommissioned 1946
28	Afridi	Royal Navy	Tribal-class destroyer	3 May 1938	Sunk 3 May 1940
29	Agano	Empire of Japan	Agano-class light cruiser	31 October 1942	Sunk 15 February 1944
30	Ahrens	United States Navy	Buckley-class destroyer escort	12 February 1944	Decommissioned 1946, scrapped 1967
31	Ajax	Royal Navy	Leander-class light cruiser	3 June 1935	Scrapped 1949
32	Akagi	Empire of Japan	Amagi-class battlecruiser converted to aircraft carrier	27 March 1927	Sunk 5 June 1942
33	Akizuki	Empire of Japan	Akizuki-class destroyer	11 June 1942	Sunk 25 October 1944
34	Alabama	United States Navy	South Dakota-class battleship	16 August 1942	Decommissioned 9 January 1947, currently Museum ship since 1964
35	Alaska	United States Navy	Alaska-class large cruiser	17 June 1944	Scrapped 1960
36	Albatross	Royal Australian Navy	seaplane carrier and repair ship	29 September 1938 (ex-HMAS Australia)	Torpedoed 1944, not repaired, scrapped 1954
37	Albatros	Nazi Germany	1923 Raubvogel-class torpedo boat	5 May 1927	Beached 10 April 1940
38	Alberico da Barbiano	Kingdom of Italy	Giussano-class light cruiser	1931	Sunk 13 December 1941
39	Alberto di Giussano	Kingdom of Italy	Giussano-class light cruiser	1 January 1931	Sunk 13 December 1941
40	Albert T. Harris	United States Navy	John C. Butler-class destroyer escort	29 November 1944	Sunk as target 1969
41	Albert W. Grant	United States Navy	Fletcher-class destroyer	24 November 1943	Decommissioned 1971, scrapped 1972
42	Alcantara	Royal Navy	Armed merchant cruiser	1927	Scrapped 1958
43	Aldea	Chile	Serrano-class destroyer	1929	Discarded 1957
44	Alden	United States Navy	Clemson-class destroyer	24 November 1919	Scrapped 30 November 1945
45	Alexander J. Luke	United States Navy	Buckley-class destroyer escort	19 February 1944	Decommissioned 1947, sunk as target 1970
46	Alfred A. Cunningham	United States Navy	Allen M. Sumner-class destroyer	23 November 1944	Decommissioned 1971, sunk as target 1979
47	Alger	United States Navy Brazil	Cannon-class destroyer escort	12 November 1943	To Brazil 10 March 1945 as Babitonga, scrapped 1964
48	Algérie	France	Heavy cruiser	15 September 1934	scuttled 27 November 1942
49	Algérien	United States Navy Free French	Cannon-class destroyer escort	23 January 1944 (former USS Cronin)	Scrapped Nov 1965
50	Allen M. Sumner	United States Navy	Allen M. Sumner-class destroyer	26 January 1944	Scrapped 1974
51	Almirante Brown	Argentina	Veinticinco de Mayo-class cruiser	11 July 1931	Scrapped 1962
