1;Aaron Ward�(DD-483);USA Navy;Gleaves-class destroyer;1942;Sunk 7 April 1943[1]
2;Aaron Ward�(DM-34);USA Navy;Robert H. Smith-class destroyer-minelayer;1944;constructive loss 30 April 1945, scrapped 1946
4;Abbot�(DD-629);USA Navy;Fletcher-class destroyer;1943;Decommissioned 1965, scrapped 1975[3]
5;Abdiel;Royal Navy;Abdiel-class minelayer;1941;Sunk 10 September 1943[4]
7;Abercrombie;Royal Navy;Roberts-class monitor;1943;Scrapped 1954[5]
8;Abercrombie;USA Navy;John C. Butler-class destroyer escort;1944;Decommissioned 1946, sunk as target 1968
9;Abner Read;USA Navy;Fletcher-class destroyer;1943;Sunk 1 November 1944
11;Acasta;Royal Navy;A-class destroyer;1930;Sunk 8 June 1940[7]
12;Achates;Royal Navy;A-class destroyer;1930;Sunk 31 December 1942
13;Acavus;Royal Navy;MAC ship;1943;Returned to merchant service post-war, renamed Iacara
14;Acheron;Royal Navy;A-class destroyer;1931;Sunk 17 December 1940
15;Achilles;Royal Navy/�Royal New Zealand Navy;Leander-class light cruiser;1933;sold to India 1948
16;Acree;USA Navy;Cannon-class destroyer escort;1943;Decommissioned 1946, scrapped 1973
17;Active;Royal Navy;A-class destroyer;1930;Scrapped 1947
18;Activity;Royal Navy;Escort carrier;1942;Returned to merchant service April 1946, renamed Breconshire
19;Adams;USA Navy;Robert H. Smith-class destroyer-minelayer;1944;Decommissioned 1947, scrapped 1971
21;Admiral Graf Spee;German;Deutschland-class cruiser;1936;scuttled 17 December 1939
22;Admiral Hipper;German;Admiral Hipper-class cruiser;1939;Scuttled 2 May 1945
23;Admiral Scheer;German;Deutschland-class cruiser;1934;Sunk 9 April 1945
24;Admiralty Islands;USA Navy;Casablanca-class escort carrier;1944;Scrapped 1947
25;Adrias;Greece;Hunt-class (Type III) escort destroyer;1942;Mined 22 October 1943, declared a constructive total loss, scrapped 1945
26;Adula;Royal Navy;MAC ship;1944;Returned to merchant service post-war
28;Afridi;Royal Navy;Tribal-class destroyer;1938;Sunk 3 May 1940
29;Agano;Japan;Agano-class light cruiser;1942;Sunk 15 February 1944
30;Ahrens;USA Navy;Buckley-class destroyer escort;1944;Decommissioned 1946, scrapped 1967
31;Ajax;Royal Navy;Leander-class light cruiser;1935;Scrapped 1949
33;Akizuki;Japan;Akizuki-class destroyer;1942;Sunk 25 October 1944
34;Alabama;USA Navy;South Dakota-class battleship;1942;Decommissioned 9 January 1947, currently Museum ship since 1964
35;Alaska;USA Navy;Alaska-class large cruiser;1944;Scrapped 1960
36;Albatross;Royal Australian Navy;seaplane carrier and repair ship;1938;Torpedoed 1944, not repaired, scrapped 1954
38;Alberico da Barbiano;Italy;Giussano-class light cruiser;1905;Sunk 13 December 1941
39;Alberto di Giussano;Italy;Giussano-class light cruiser;1931;Sunk 13 December 1941
40;Albert T. Harris;USA Navy;John C. Butler-class destroyer escort;1944;Sunk as target 1969
41;Albert W. Grant;USA Navy;Fletcher-class destroyer;1943;Decommissioned 1971, scrapped 1972
42;Alcantara;Royal Navy;Armed merchant cruiser;1905;Scrapped 1958
43;Aldea;Chile;Serrano-class destroyer;1905;Discarded 1957
45;Alexander J. Luke;USA Navy;Buckley-class destroyer escort;1944;Decommissioned 1947, sunk as target 1970
46;Alfred A. Cunningham;USA Navy;Allen M. Sumner-class destroyer;1944;Decommissioned 1971, sunk as target 1979
47;Alger;USA Navy�Brazil;Cannon-class destroyer escort;1943;To Brazil 10 March 1945 as Babitonga, scrapped 1964
48;Alg�rie;France;Heavy cruiser;1934;scuttled 27 November 1942
49;Alg�rien;USA Navy�Free France;Cannon-class destroyer escort;1944;Scrapped Nov 1965
50;Allen M. Sumner;USA Navy;Allen M. Sumner-class destroyer;1944;Scrapped 1974
51;Almirante Brown;Argentina;Veinticinco de Mayo-class cruiser;1931;Scrapped 1962
53;Almirante Latorre;Chile;Almirante Latorre-class battleship;1905;Scrapped 1959
54;Almirante Lynch;Chile;Almirante Lynch-class destroyer;1905;Decommissioned 1945
55;Almirante Simpson;Chile;Capitan O'Brien-class submarine;1905;Discarded 1957
56;Altamaha;USA Navy;Bogue-class escort carrier;1942;Scrapped 1946
57;Alvin C. Cockrell;USA Navy;John C. Butler-class destroyer escort;1944;Sunk as target 1969
58;Amagi;Japan;Unry?-class aircraft carrier;1944;Sunk 27 July 1945
59;Amastra;Royal Navy;MAC ship;1943;"Returned to merchant service post-war; renamed Idas"
60;Amazon;Royal Navy;Destroyer class prototype;2027;Scrapped 25 October 1948
61;Ambuscade;Royal Navy;Destroyer class prototype;2027;Scrapped 1946
62;Ameer;USA Navy�Royal Navy;Ruler-class escort aircraft carrier;1943;Returned to USN 17 January 1946, sold into merchant service 17 September 1946 as Robin Kirk
63;Amesbury;USA Navy;Buckley-class destroyer escort;1943;sold for scrap, sank under tow 1962
64;Amethyst;Royal Navy;Modified Black Swan-class sloop;1943;Scrapped 19 January 1957
65;Amick;USA Navy;Cannon-class destroyer escort;1943;To Japan 1955, to Philippines 1976, scrapped 1989
66;Ammen;USA Navy;Fletcher-class destroyer;1943;Scrapped 1960
67;Amsterdam;USA Navy;Cleveland-class light cruiser;1945;Scrapped 1971
68;Ancylus;Royal Navy;Rapana-class MAC ship;1943;"returned to merchant service post-war; renamed Imbricaria"
69;Anderson;USA Navy;Sims-class destroyer;1939;Sunk in A-bomb test 1946
71;Andres;USA Navy;Evarts-class destroyer escort;1943;Scrapped 1946
72;Annapolis;USA Navy�Canada;Town-class destroyer;1940;Scrapped 1945
73;Anson;Royal Navy;King George V-class battleship;1942;Scrapped 1957
74;Antelope;Royal Navy;A-class destroyer;1930;Scrapped 1946
75;Anthony�(H40);Royal Navy;A-class destroyer;1930;Scrapped 1948
76;Anthony�(DD-515);USA Navy;Fletcher-class destroyer;1943;To West Germany 1958, sunk as target 1979
77;Antietam;USA Navy;Ticonderoga-class aircraft carrier;1945;Decommissioned 8 May 1963, scrapped 1974
78;Antiquois;Colombia;Guadiana-class destroyer;;former Douro (Portugal)
79;Anton Schmitt;German;Type 1936 destroyer;1939;Sunk 10 April 1940
80;Anzio;USA Navy;Casablanca-class escort carrier;1943;Decommissioned 1946, scrapped 1959
82;Apollo;Royal Navy;Abdiel-class minelayer;1943;Scrapped 1962
83;Aquila;Italy;aircraft carrier;;Scrapped 1952
84;Arbiter;USA Navy�Royal Navy;Ruler-class escort carrier;1943;Returned to USN 3 March 1946, stricken 12 April 1946, sold and renamed Coracero
85;Archer;Royal Navy;Avenger-class escort carrier;1941;Decommissioned 6 November 1943, became Empire Lagan aircraft ferry 15 March 1945, returned to USN 9 January 1946
87;Ardent;Royal Navy;A-class destroyer;1930;Sunk 8 June 1940[7]
88;Arendal;Norway;Hunt-class (Type II) escort destroyer;1944;Scrapped 1965
89;Argus;Royal Navy;fleet aircraft carrier;2018;Scrapped 1946
90;Ariadne;Royal Navy;Abdiel-class minelayer;1944;Scrapped 1965
92;Ark Royal;Royal Navy;aircraft carrier;1938;Sunk 14 November 1941
94;Arkhangelsk;Royal Navy�USSR;Revenge-class battleship;1944;returned to Royal Navy 9 February 1949, scrapped Sep 1949
95;Armando Diaz;Italy;Luigi Cadorna-class light cruiser;1933;Sunk 25 February 1941
96;Arrow;Royal Navy;A-class destroyer;1930;Irreparably damaged, 1944
97;Arteveld;Belgium;patrol boat;;Commissioned as Lorelei (Germany)
98;Arunta;Royal Australian Navy;Tribal-class destroyer;1942;Scrapped 1968
99;Ashanti;Royal Navy;Tribal-class destroyer;1938;Scrapped 1949
100;Ashigara;Japan;Myoko-class heavy cruiser;1905;Sunk 8 June 1945
101;Astoria�(CA-34);USA Navy;New Orleans-class heavy cruiser;1934;Sunk 9 August 1942 Battle of Savo Island
102;Astoria�(CL-90);USA Navy;Cleveland-class light cruiser;1944;Scrapped 1971
103;Atago;Japan;Takao-class heavy cruiser;1932;Sunk 23 October 1944
104;Athabaskan;Royal Canadian Navy;Tribal-class destroyer;1943;Sunk 29 April 1944
105;Atheling;USA Navy�Royal Navy;Ruler-class escort carrier;1943;returned to US 13 December 1946
106;Atherton;USA Navy;Cannon-class destroyer escort;1943;To Japan 1955, to Philippines 1976, active as of 2012
107;Atlanta�(CL-51);USA Navy;Atlanta-class light cruiser;1941;Sunk 13 November 1942 Guadalcanal
108;Atlanta�(CL-104);USA Navy;Cleveland-class light cruiser;1944;Sunk as target 1970
109;Atlantis;German;auxiliary cruiser;1939;Sunk 21 November 1941
110;Attacker;USA Navy�Royal Navy;Attacker-class escort carrier;1942;Decommissioned 5 January 1946
111;Attilio Regolo;Italy;Capitani Romani-class light cruiser (also known as exploratori oceanici);1942;ceded to France 1948
112;Attu;USA Navy;Casablanca-class escort carrier;1944;Scrapped 1947
113;Audacity;Royal Navy;escort aircraft carrier;1941;Sunk 21 December 1941
114;Augusta;USA Navy;Northampton-class heavy cruiser;1931;Scrapped 1960
116;Aulick�(DD-569);USA Navy;Fletcher-class destroyer;1942;To Greece 1959, scrapped 1997
117;Ault;USA Navy;Allen M. Sumner-class destroyer;1944;Scrapped 1974
119;Austin;USA Navy;Evarts-class destroyer escort;1943;Scrapped 1947
121;Avenger;Royal Navy;Avenger-class escort carrier;1942;Sunk 15 November 1942
122;Aventure;Royal Navy�Free France;River-class frigate;1944;Decommissioned 1964
123;Ayanami;Japan;Fubuki-class destroyer;1930;Sunk 15 November 1942
124;Aylwin;USA Navy;Farragut-class destroyer;1935;Scrapped 1947
125;Babbitt;USA;Wickes-class destroyer;2019;scrapped 1946
126;Babitonga;USA�Brazil;Cannon-class destroyer escort;1945;Decommissioned 1964
127;Bache;USA;Fletcher-class destroyer;1942;scrapped 1968
128;Badger;USA;Wickes-class destroyer;2019;scrapped 1945
129;Baependi;USA�Brazil;Cannon-class destroyer escort;1944;Decommissioned 1973
130;Bagley;USA;Bagley-class destroyer;1937;scrapped 1947
131;Bahia;Brazil;Bahia-class light cruiser;1905;lost 4 July 1945
132;Bailey�(DD-269);USA�UK;Clemson-class destroyer;2019;to UK as HMS�Reading 26 November 1940
133;Bailey�(DD-492);USA;Benson-class destroyer;1942;decommissioned 1946, sunk as target 1969
134;Bainbridge;USA;Clemson-class destroyer;2021;scrapped 1945
135;Bairoko;USA;Commencement Bay-class escort carrier;1945;decommissioned 1955, scrapped 1960
136;Baker;USA;Cannon-class destroyer escort;1943;to France 1952, sunk as target 1970
137;Balch;USA;Porter-class destroyer leader;1936;scrapped 1946
138;Baldwin;USA;Gleaves-class destroyer;1943;decommissioned 1946, scuttled 1961
139;Baltimore;USA;Baltimore-class heavy cruiser;1943;decommissioned 2 July 1954, scrapped 1972
140;Bancroft�(DD-256);USA�Canada;Clemson-class destroyer;2019;to Canada as HMCS�St. Francis 24 September 1940
141;Bancroft�(DD-598);USA;Benson-class destroyer;1942;decommissioned 1946, scrapped 1973
142;Bangust;USA;Cannon-class destroyer escort;1943;to Peru 1952, scrapped 1979
143;Barb;USA;Gato-class submarine;1942;sold to Italy as Enrico Tazzoli 1954, scrapped 1973
144;Barber;USA;Buckley-class destroyer escort;1943;to Mexico 1969, struck 2001
146;Bari;Italy;light cruiser;1905;sunk 28 June 1943
147;Barker;USA;Clemson-class destroyer;2019;scrapped 1945
148;Barnes;USA;Bogue-class escort carrier;1943;Decommissioned 29 August 1946, scrapped 1959
150;Baron;USA;Cannon-class destroyer escort;1943;to Uruguay 1952, scrapped 1990
151;Barr;USA;Buckley-class destroyer escort;1944;sunk as target 1963
152;Barry;USA;Clemson-class destroyer;2021;sunk 21 June 1945
153;Bartolomeo Colleoni;Italy;Giussano-class light cruiser;1932;Sunk 19 July 1940
154;Barton�(DD-599);USA;Benson-class destroyer;1942;sunk 13 November 1942
155;Barton�(DD-722);USA;Allen M. Sumner-class destroyer;1943;sunk as target 1969
156;Basilisk;UK;B-class destroyer;1931;sunk 1 June 1940
157;HMAS�Bataan;Australia;Tribal-class destroyer;1945;scrapped 1958
158;USS�Bataan;USA;Independence-class aircraft carrier;1943;decommissioned 9 April 1954, scrapped 1960
159;Bates;USA;Buckley-class destroyer escort;1943;sunk by kamikazes 25 May 1945
160;Bath;USA�UK�Norway;Town-class destroyer;1940;Sunk on 19 August 1941
161;Battler;USA�UK;Attacker-class escort carrier;1942;Returned to USN 12 February 1946, scrapped May 1946
162;Bauru;USA�Brazil;Cannon-class destroyer escort;1944;Decommissioned 17 September 1981, museum ship
163;Beagle;UK;B-class destroyer;1931;scrapped Jan 1946
164;Beale;USA;Fletcher-class destroyer;1942;sunk as target 1969
165;B�arn;France�Free France;aircraft carrier;2027;stricken Nov 1966, scrapped Mar 1967
166;Bearss;USA;Fletcher-class destroyer;1944;decommissioned 1963, scrapped 1976
167;Beatty�(DD-640);USA;Gleaves-class destroyer;1942;sunk 6 November 1943
168;Beatty�(DD-756);USA;Allen M. Sumner-class destroyer;1945;to Venezuela 1972, scrapped 1981
169;Bebas;USA;Evarts-class destroyer escort;1943;scrapped 1945
171;Bedouin;UK;Tribal-class destroyer;1939;Sunk 15 June 1942
173;Belfast;UK;Town-class cruiser;1939;Museum ship since 21 October 1971 moored in London next to Tower Bridge
174;Bell;USA;Fletcher-class destroyer;1943;decommissioned 1946, sunk as target 1975
175;Belleau Wood;USA;Independence-class aircraft carrier;1943;"decommissioned 13 January 1947, transferred to France as Bois Belleau; scrapped 1961"
178;Bengal;India;Bathurst-class minesweeper;1942;Decommissioned 1960
179;Benham�(DD-397);USA;Benham-class destroyer;1939;sunk 15 November 1942
180;Benham�(DD-796);USA;Fletcher-class destroyer;1943;to Peru 1960, scrapped 1980
181;Benner;USA;Gearing-class destroyer;1945;scrapped 1975
182;Bennett;USA;Fletcher-class destroyer;1943;to Brazil 1959, scrapped 1978
183;Bennington;USA;Essex-class aircraft carrier;1944;decommissioned 15 January 1970, scrapped 1994
184;Bennion;USA;Fletcher-class destroyer;1943;decommissioned 1946, scrapped 1973
185;Benson;USA;Benson-class destroyer;1940;transferred to Taiwan 1954, scrapped 1974
186;Bermuda;UK;Fiji-class cruiser;1942;scrapped 1965
187;Bernadou;USA;Wickes-class destroyer;2019;scrapped 1945
188;Z11 Bernd von Arnim;German;Type 1934A destroyer;1938;scuttled 13 April 1940
191;Biddle;USA;Wickes-class destroyer;2019;scrapped 1946
192;Bideford;UK;Shoreham-class sloop;1932;Sold 14 September 1947
193;Biloxi;USA;Cleveland-class light cruiser;1943;Scrapped 1962
194;HMS�Birmingham;UK;Southampton-class light cruiser;1937;scrapped 1960
195;USS�Birmingham;USA;Cleveland-class light cruiser;1943;Scrapped 1959
196;Bismarck;German;Bismarck-class battleship;1940;sunk 27 May 1941
197;Bismarck Sea;USA;Casablanca-class escort carrier;1944;sunk 21 February 1945
199;Bivin;USA;John C. Butler-class destroyer escort;1944;decommissioned 1947, sunk as target 1969
200;Black;USA;Fletcher-class destroyer;1943;scrapped 1971
201;Black Prince;UK;Dido-class light cruiser;1943;Decommissioned March 1962
202;Blair;USA;Edsall-class destroyer escort;1943;decommissioned 1960, scrapped 1972
203;Blakeley;USA;Wickes-class destroyer;2019;scrapped 1945
204;Blanche;UK;B-class destroyer;1931;sunk 13 November 1939
206;Blessman;USA;Buckley-class destroyer escort;1943;to Taiwan 1967, scrapped 1995
207;Block Island�(CVE-21);USA;Bogue-class escort carrier;1943;Sunk 29 May 1944
208;Block Island�(CVE-106);USA;Commencement Bay-class escort carrier;1944;decommissioned 1954, scrapped 1960
209;Bl�cher;German;Admiral Hipper-class heavy cruiser;1939;sunk 9 April 1940
210;Blue�(DD-387);USA;Bagley-class destroyer;1937;sunk 22 August 1942
211;Blue�(DD-744);USA;Allen M. Sumner-class destroyer;1944;sunk as target 1974
212;B?yskawica;Poland;Grom-class destroyer;1937;decommissioned 1 May 1976, preserved as museum ship
213;Boadicea;UK;B-class destroyer;1931;sunk 13 June 1944
215;Boggs;USA;Wickes class destroyer-minesweeper;2018;scrapped 1946
216;Bogue;USA;Bogue-class escort carrier;1942;Decommissioned 30 November 1946, scrapped 1960
217;Boise;USA;Brooklyn-class light cruiser;1938;Decommissioned 11 January 1951, sold to Argentina. Scrapped 1978
218;Bolzano;Italy;Trento class heavy cruiser;1905;sunk 1944
219;Bombay;India;Bathurst class minesweeper;1942;Decommissioned 1960
220;Bon Homme Richard;USA;Essex-class aircraft carrier;1944;decommissioned 2 July 1971, scrapped 1992
221;Booth;USA;Cannon class destroyer escort;1943;to Philippines 1967, lost in typhoon 1981
222;Bordelon;USA;Gearing class destroyer;1945;to Iran 1977
223;Boreas;UK;B-class destroyer;1931;became Salamis (Greece), 1944, returned and scrapped 1951
224;Borie (I);USA;Clemson class destroyer;2020;sank 2 November 1943 after ramming and sinking U-405
225;Borie (II);USA;Sumner class destroyer;1944;to Argentina 1972, scrapped 1984
226;Borum;USA;Buckley class destroyer escort;1943;decommissioned 1946, scrapped 1966
227;Boston;USA;Baltimore-class heavy cruiser;1943;decommissioned 1970, scrapped 1975
228;Bostwick;USA;Cannon class destroyer escort;1943;to Republic of China 1948, scrapped 1972
229;Bougainville;USA;Casablanca-class escort carrier;1944;decommissioned 1946, scrapped 1960
230;Bowers;USA;Buckley class destroyer escort;1944;to Philippines 1961
231;Boxer;USA;Ticonderoga-class aircraft carrier;1945;decommissioned 1 December 1969, scrapped 1971
232;Boyd;USA;Fletcher-class destroyer;1943;to Turkey 1969, scrapped 1981
233;Boyle;USA;Benson-class destroyer;1942;decommissioned 1946, sunk as target 1973
234;Brackett;USA;Evarts class destroyer escort;1943;scrapped 1947
